field,yield_plan
02.23.11.010.00,4.198571428571428
02.23.11.011.00,
02.23.11.011.01,3.941363636363637
02.23.11.011.02,2.7834146341463417
02.23.11.012.00,2.44
02.23.11.013.00,2.551875
02.23.11.014.00,3.68125
02.23.11.015.00,2.712
02.23.11.017.00,2.903703703703704
02.23.11.021.00,2.68
02.23.11.022.00,2.4142857142857146
02.23.11.023.00,2.730769230769231
02.23.11.025.00,2.6
02.23.11.026.00,4.046153846153846
02.23.11.027.00,4.252592592592593
02.23.11.028.00,4.497333333333334
02.23.11.029.00,
02.23.11.030.00,4.4344
02.23.11.031.00,
02.23.11.032.00,3.4
02.23.11.032.01,1.5
02.23.11.032.02,4.2
02.23.11.033.00,3.5714285714285716
02.23.11.035.00,5.998
02.23.11.036.00,5.84909090909091
02.23.11.037.00,5.92
02.23.11.038.00,3.4
02.23.11.039.00,1.4576923076923076
02.23.11.040.00,1.8792
02.23.11.041.00,1.891578947368421
02.23.11.042.00,2.4981818181818185
02.23.11.044.00,6.06015625
02.23.11.045.00,
02.23.11.045.01,4.677142857142857
02.23.11.045.02,4.746896551724138
02.23.11.045.03,3.224615384615385
02.23.11.046.00,2.2
02.23.11.047.00,3.571176470588236
02.23.11.048.00,
02.23.11.049.00,
02.23.11.049.01,6.103529411764707
02.23.11.049.02,2.2
02.23.11.049.03,1.4
02.23.11.050.00,4.037241379310346
02.23.11.051.00,2.4526315789473685
02.23.11.052.00,4.219836065573771
02.23.11.053.00,6.055842696629214
02.23.11.054.00,4.1030303030303035
02.23.11.057.00,4.0
02.23.11.058.00,4.0
02.23.11.059.00,3.693877551020408
02.23.11.060.00,6.041875
02.23.11.061.00,6.132205882352942
02.23.11.062.00,2.2
16.13.11.001.00,4.0
16.13.11.002.00,4.0
16.13.11.003.00,4.0
16.13.11.004.00,4.0
16.13.11.005.00,2.2
16.13.11.006.00,2.2
16.13.11.008.00,4.0
16.13.11.009.00,4.0
16.13.12.001.00,4.0
16.13.12.002.00,4.0
16.13.12.003.00,
16.13.12.003.01,4.0
16.13.12.003.02,4.0
16.13.12.004.00,4.0
16.13.12.006.00,4.0
16.13.12.007.00,4.0
16.13.12.008.00,3.8434782608695657
16.13.12.009.00,3.8181818181818183
16.13.12.011.00,1.6999999999999997
16.13.12.012.00,1.7
16.13.12.013.00,4.0
16.13.12.014.00,1.8315000000000001
16.13.12.015.00,1.8315000000000001
16.13.12.016.00,1.8315000000000001
16.13.12.017.00,1.7603125000000002
16.13.12.018.00,3.541346153846154
16.13.12.019.00,1.7
16.13.12.020.00,1.7
16.13.12.021.00,1.7
16.13.12.022.00,1.7
16.13.12.023.00,4.0
16.13.12.024.00,4.0
16.13.12.025.00,4.0
16.13.12.026.00,1.8315000000000001
16.13.12.027.00,1.8315000000000001
16.13.12.028.00,4.0
16.13.12.029.00,1.7
16.13.12.030.00,1.7
16.13.12.031.00,4.0
16.13.12.032.00,2.0060526315789473
16.13.12.033.00,1.8370833333333334
16.13.12.034.00,2.076923076923077
16.13.12.035.00,4.0
16.13.12.036.00,4.0
16.13.12.037.00,4.0
16.13.12.038.00,4.0
16.13.12.039.00,1.9283783783783786
16.13.12.040.00,2.0
16.13.12.041.00,2.0
16.13.12.042.00,4.0
16.13.12.043.00,4.0
16.13.12.044.00,1.1857142857142857
16.13.12.045.00,1.1622222222222223
16.13.12.046.00,1.8444897959183675
16.13.12.047.00,2.0
16.13.12.048.00,2.0
16.13.12.049.00,2.0
16.13.12.052.00,4.0
16.13.12.053.00,2.0
16.13.12.054.00,2.0
16.13.12.055.00,2.0
16.13.12.056.00,2.0
16.13.12.057.00,2.0
16.13.12.058.00,2.0
16.13.12.059.00,3.1317173913043477
16.13.12.060.00,4.0
16.13.12.061.00,4.0
16.13.12.062.01,4.0
16.13.12.062.02,4.0
16.13.12.064.00,4.0
16.13.12.065.00,2.0
16.13.12.066.00,3.456875
16.13.12.067.00,3.1878597122302157
16.13.12.068.00,3.4971944444444443
16.13.12.069.00,3.4524218749999998
16.13.12.070.00,1.7428571428571429
16.13.12.071.00,3.4672727272727273
16.13.12.072.00,2.2
16.13.12.073.00,2.2
16.13.12.074.00,
16.13.12.075.00,
16.13.13.001.00,3.8363636363636364
16.13.13.002.00,2.002857142857143
16.13.13.003.00,3.784
16.13.13.004.00,1.778823529411765
16.13.13.005.00,2.1063157894736846
16.13.13.006.00,4.0
16.13.13.007.00,4.0
16.13.13.008.00,1.577837837837838
16.13.13.009.00,2.2341176470588238
16.13.13.010.00,2.2
16.13.13.011.00,4.0
16.13.13.012.00,4.016666666666667
16.13.13.013.00,3.7563953488372093
16.13.13.014.00,3.846774193548387
16.13.13.015.00,3.9618055555555554
16.13.13.016.00,2.5933333333333333
16.13.13.017.00,3.9648876404494384
16.13.13.018.00,2.3823333333333334
16.13.13.019.00,3.626358695652174
16.13.13.020.00,2.9326923076923075
16.13.13.021.00,3.0575471698113206
16.13.13.022.00,2.523
16.13.13.023.00,3.9343749999999997
16.13.13.024.00,3.7823369565217395
16.13.13.025.00,2.916015625
16.13.13.026.00,2.549375
16.13.13.027.00,3.5406382978723405
16.13.13.028.00,3.3523214285714285
16.13.13.029.00,5.246875
16.13.13.030.00,5.246875
16.13.13.031.00,3.99609375
16.13.13.032.00,5.268055555555556
16.13.13.033.00,5.397368421052631
16.13.13.034.00,3.5520833333333335
16.13.13.035.00,3.0749999999999997
16.13.13.036.00,2.9488636363636362
16.13.13.037.00,2.47025
16.13.13.038.00,2.2592499999999998
16.13.13.039.00,3.823974358974359
16.13.13.040.00,3.4292857142857143
16.13.13.041.00,5.1515625
16.13.13.042.00,2.0742372881355933
16.13.13.043.00,3.3819230769230773
16.13.13.044.00,3.7746478873239435
16.13.13.045.01,2.9462025316455698
16.13.13.045.02,2.9776315789473684
16.13.13.045.03,2.9776315789473684
16.13.13.045.04,2.869444444444444
16.13.13.046.01,2.331627906976744
16.13.13.046.02,2.358888888888889
16.13.13.046.03,2.3964
16.13.13.046.04,2.376923076923077
16.13.13.047.00,3.2753571428571426
16.13.13.048.00,2.278684210526316
16.13.13.049.00,2.85735294117647
16.13.13.050.00,3.1713513513513516
16.13.13.051.00,3.003846153846154
16.13.13.052.00,2.9909090909090907
16.13.15.001.00,3.7721428571428572
16.13.15.002.00,3.6085000000000003
16.13.15.004.00,3.9277027027027023
16.13.15.005.00,5.293243243243243
16.13.15.006.00,5.224
16.13.15.007.00,5.392647058823529
16.13.15.008.00,3.7972222222222225
16.13.15.009.00,3.480625
16.13.15.010.00,3.3999999999999995
16.13.15.011.00,3.7741228070175437
16.13.15.012.00,3.481904761904762
16.13.15.013.00,5.346
16.13.15.014.00,3.4737142857142858
16.13.15.015.00,3.4889655172413794
16.13.15.016.00,3.572
16.13.15.017.00,5.285
16.13.15.018.00,3.478181818181818
16.13.15.020.00,3.4705641025641025
16.13.15.021.00,3.4755121951219516
16.13.15.022.00,6.2
16.13.16.001.00,2.565
16.13.16.002.00,2.5354285714285716
16.13.16.003.00,2.4709090909090907
16.13.16.004.00,2.61
16.13.16.006.00,2.435625
16.13.16.007.00,2.5236
16.13.16.008.08,
16.13.16.008.09,
16.13.16.009.00,
16.13.16.010.00,
16.13.16.011.00,2.5
16.13.16.012.00,
16.13.16.013.00,
16.13.16.014.00,
16.13.16.015.00,2.271
16.13.16.016.00,2.438051948051948
16.13.16.017.00,2.7753333333333337
16.13.16.018.00,4.4261
16.13.16.019.00,2.7627906976744185
16.13.16.020.00,2.68125
16.13.16.021.00,5.4375
16.13.16.023.00,2.5706451612903227
16.13.16.024.00,2.5448275862068965
16.13.16.025.00,3.664705882352941
16.13.16.026.00,2.523
16.13.16.027.00,3.29075
16.13.16.028.00,3.5248275862068965
16.13.16.029.00,2.9107894736842104
16.13.16.030.00,3.4193548387096775
16.13.16.031.00,3.4292857142857143
16.13.16.032.00,3.775625
16.13.16.033.00,3.4862962962962962
16.13.16.034.00,2.4488372093023254
16.13.16.035.00,3.768648648648649
16.13.16.036.00,2.5305555555555554
16.13.16.037.00,3.768648648648649
16.13.16.038.00,2.745454545454545
16.13.16.039.00,3.7301739130434783
16.13.16.040.00,3.7493142857142856
16.13.16.041.00,3.8097777777777777
16.13.16.042.00,1.7
16.13.16.043.00,1.7
16.13.16.044.00,1.7
16.13.16.045.00,1.7
16.13.16.046.00,1.7
16.13.16.047.00,1.6999999999999997
16.13.16.048.00,1.265
16.13.16.049.00,3.3261538461538462
16.13.17.001.00,2.2
16.13.17.002.00,2.2
16.13.17.003.00,2.2
16.13.17.004.01,2.2
16.13.17.004.02,2.2
16.13.17.005.00,2.2
16.13.17.006.00,1.182962962962963
16.13.17.007.00,1.1552112676056339
16.13.17.008.00,1.1515789473684213
16.13.17.009.00,1.94875
16.13.17.010.00,2.430769230769231
16.13.17.011.00,2.2
16.13.17.013.00,1.1672
16.13.17.014.00,1.1640963855421687
16.13.17.015.00,1.1538461538461537
16.13.17.016.00,4.272014925373135
16.13.17.017.01,4.155769230769231
16.13.17.017.02,3.6
16.13.17.018.00,2.2
16.13.17.019.00,2.2
16.13.17.020.00,2.45
16.13.17.021.00,3.5156862745098043
16.13.17.022.00,
16.13.17.022.01,3.6
16.13.17.022.02,3.5999999999999996
16.13.17.023.00,3.6000000000000005
16.13.17.024.00,
16.13.17.024.01,4.28421052631579
16.13.17.024.02,3.5999999999999996
16.13.17.025.00,
16.13.17.025.01,4.216509433962264
16.13.17.025.02,3.6
16.13.17.026.00,4.238235294117647
16.13.17.027.00,2.2
16.13.17.028.00,3.4857142857142853
16.13.17.029.00,3.5384615384615383
16.13.17.030.00,
16.13.17.030.01,4.216509433962264
16.13.17.030.02,3.5999999999999996
16.13.17.031.00,2.634
16.13.17.032.00,3.1056410256410256
16.13.17.033.00,2.7011842105263155
16.13.17.034.00,2.694375
16.13.17.035.00,2.665161290322581
16.13.17.036.00,2.5983870967741933
16.13.17.037.00,2.659090909090909
16.13.17.038.00,2.5336363636363637
16.13.17.039.00,2.5409302325581398
16.13.17.040.00,2.634
16.13.17.041.00,2.5650000000000004
16.13.17.042.00,4.0
16.13.18.001.00,3.899107142857143
16.13.18.002.00,3.53072
16.13.18.003.00,3.498285714285714
16.13.18.004.00,3.5032
16.13.18.005.01,5.296296296296297
16.13.18.005.02,5.241428571428571
16.13.18.006.00,3.4897391304347822
16.13.18.007.00,4.016666666666667
16.13.18.008.00,3.4895833333333335
16.13.18.009.00,3.5112941176470587
16.13.18.010.00,3.50541935483871
16.13.18.011.00,4.016666666666667
16.13.18.012.00,3.7741228070175437
16.13.18.013.00,
16.13.18.014.00,5.368181818181818
16.13.18.015.00,3.4883243243243247
16.13.18.017.00,5.352777777777778
16.13.18.019.00,3.2146666666666666
16.13.18.020.01,2.2357837837837837
16.13.18.021.00,2.5111842105263156
16.13.18.022.00,4.521
16.13.18.023.00,3.4917333333333334
16.13.18.024.00,3.572
16.13.18.025.00,3.1352592592592594
16.13.18.026.00,2.782352941176471
16.13.18.027.00,4.543217391304347
16.13.18.028.00,4.504516129032258
16.13.18.029.00,4.533463414634147
16.13.18.030.00,2.3694054054054057
16.13.18.031.00,2.1594285714285713
16.13.18.032.00,2.2236363636363636
16.13.18.033.00,2.579310344827586
16.13.18.034.00,2.4838709677419355
16.13.18.035.00,3.214666666666667
16.13.18.036.00,
16.13.18.037.00,4.3111250000000005
16.13.18.038.00,4.368363636363637
16.13.18.039.00,4.322857142857143
16.13.18.040.00,2.5
16.13.18.041.00,2.5
16.13.18.042.00,3.4857142857142853
16.13.18.043.00,3.48
16.13.18.044.00,3.466666666666667
16.13.18.045.00,3.5
16.13.18.046.00,3.4941176470588236
16.13.18.047.00,2.8874999999999997
16.13.18.048.00,3.6074324324324323
16.13.18.049.00,3.5
16.13.18.050.00,1.8800000000000001
16.13.18.051.00,3.473684210526316
16.13.18.052.00,3.4666666666666663
16.13.18.053.00,3.477777777777778
16.13.18.054.00,3.472
16.13.18.055.00,2.5
16.13.18.056.00,3.52258064516129
16.13.18.057.00,3.5037037037037035
16.13.18.058.00,3.533333333333333
16.13.18.059.00,3.53125
16.13.18.060.00,3.515151515151515
16.13.18.061.00,3.5155555555555553
16.13.18.063.00,3.5
16.13.18.064.00,3.4941176470588236
16.13.18.065.00,3.486792452830189
16.13.18.066.00,3.5058823529411764
16.13.18.067.00,3.387172413793104
16.13.18.068.00,3.2923478260869565
16.13.18.069.00,3.2923478260869565
16.13.18.070.00,3.2593333333333336
16.13.18.071.00,3.3040000000000003
16.13.18.072.00,3.0151785714285713
16.13.18.073.00,2.829838709677419
16.13.19.001.00,1.7
16.13.19.002.00,2.878470588235294
16.13.19.003.00,2.786
16.13.19.004.00,2.0
16.13.19.004.01,3.5719999999999996
16.13.19.004.02,1.7
16.13.19.005.00,1.7
16.13.19.006.00,1.7
16.13.19.007.00,1.7
16.13.19.008.00,1.7
16.13.19.008.01,2.7
16.13.19.008.02,
16.13.19.009.00,2.786
16.13.19.010.00,2.410526315789474
16.13.19.011.00,2.721573770491803
16.13.19.012.00,2.307594936708861
16.13.19.013.00,3.155
16.13.19.014.00,2.989575471698113
16.13.19.015.00,3.252222222222222
16.13.19.016.00,3.32125
16.13.19.017.00,2.6756521739130434
16.13.19.018.00,3.085514705882353
16.13.19.019.00,3.0153977272727275
16.13.19.020.00,2.869617021276596
16.13.19.021.00,2.2555555555555555
16.13.19.022.00,2.4283950617283954
16.13.19.023.00,3.3690384615384614
16.13.19.024.00,3.1542261904761904
16.13.19.025.00,3.2481617647058822
16.13.19.026.00,1.7
16.13.19.027.00,3.4973357664233578
16.13.19.028.00,3.1061
16.13.19.029.00,3.2481617647058822
16.13.19.030.00,2.655
16.13.19.031.00,2.1018518518518516
16.13.19.032.00,3.5325
16.13.19.033.00,3.652083333333333
16.13.19.034.00,3.1225
16.13.19.035.00,2.17688679245283
16.13.19.036.00,2.786
16.13.19.037.00,4.0
16.13.19.038.00,3.46613309352518
16.13.19.039.00,4.0
16.13.19.040.00,4.0
16.13.19.041.00,3.190833333333333
16.13.19.043.00,2.144230769230769
16.13.19.044.00,2.1770833333333335
16.13.19.045.00,2.1473684210526316
16.13.19.046.00,3.480204081632653
16.13.19.047.00,3.566666666666667
16.13.19.048.00,3.594
16.13.19.054.00,2.192857142857143
16.13.19.055.00,3.5243
16.13.19.056.00,3.3804032258064516
16.13.19.057.00,3.4999603174603173
16.13.19.058.00,3.587546296296296
22.47.01.001.01,3.8
22.47.01.001.02,
22.47.01.002.00,4.0
22.47.01.003.00,3.8
22.47.01.004.00,3.7999999999999994
22.47.01.005.00,4.0
22.47.01.006.01,
22.47.01.006.02,3.8
22.47.01.007.01,4.0
22.47.01.007.02,3.8000000000000003
22.47.01.008.00,3.8
22.47.01.009.00,3.7
22.47.01.010.00,3.8
22.47.01.011.00,3.8
22.47.01.012.00,3.7999999999999994
22.47.01.013.00,
22.47.01.013.01,3.8
22.47.01.014.00,
22.47.01.015.00,4.0
22.47.01.016.00,4.0
22.47.01.017.00,4.0
22.47.01.018.00,4.0
22.47.01.019.00,4.0
22.47.01.023.00,4.0
22.47.01.024.00,4.0
22.47.01.025.00,4.0
22.47.01.026.00,4.0
22.47.01.027.00,4.0
22.47.01.028.00,4.0
22.47.01.030.00,3.3
22.47.01.031.00,3.3
22.47.01.032.00,3.3
22.47.01.033.00,
22.47.01.035.00,3.4784615384615383
22.47.01.037.00,4.0
22.47.01.038.01,4.0
22.47.03.001.00,
22.47.03.002.00,
22.47.03.004.00,
22.47.05.001.00,1.523529411764706
22.47.05.002.00,2.3125
22.47.05.003.00,2.22
22.47.05.004.00,8.5
22.47.05.005.00,8.5
22.47.05.006.01,3.7399999999999998
22.47.05.007.01,3.744230769230769
22.47.05.007.02,6.2
22.47.10.001.00,6.546391752577319
22.47.10.002.00,6.714285714285714
22.47.10.003.00,7.378698224852071
22.47.10.004.00,7.0
22.47.10.005.02,7.224719101123595
22.47.10.006.01,7.1875
22.47.10.006.02,6.25
22.47.10.007.00,3.4134615384615383
22.47.10.008.00,3.8
22.47.10.009.00,7.085714285714285
22.47.10.010.00,7.091428571428571
22.47.10.011.01,5.916666666666667
22.47.10.011.02,6.045454545454546
22.47.10.012.01,6.3108108108108105
22.47.10.012.02,6.122641509433962
22.47.10.013.01,
22.47.10.014.00,5.78021978021978
22.47.10.015.01,6.416666666666667
22.47.10.016.00,9.5625
22.47.10.017.00,6.625
22.47.10.018.00,6.25
22.47.10.019.00,6.7
22.47.11.001.00,3.3971153846153848
22.47.11.002.00,2.541573033707865
22.47.11.003.00,2.623529411764706
22.47.11.004.00,2.6973684210526314
22.47.11.005.00,2.7743055555555554
22.47.11.006.00,1.9485148514851482
22.47.11.007.00,
22.47.11.007.01,3.7
22.47.11.007.02,
22.47.11.008.00,2.4972972972972975
22.47.11.009.00,2.600751879699248
22.47.11.010.00,2.652898550724638
22.47.11.011.01,2.0
22.47.11.011.03,2.0
22.47.11.011.04,2.0
22.47.11.013.00,2.630952380952381
22.47.11.014.00,3.461855670103093
22.47.11.015.00,6.306666666666667
22.47.11.016.00,2.7192857142857143
22.47.11.017.00,2.726612903225807
22.47.11.018.00,2.6940476190476192
22.47.11.019.00,2.8019736842105267
22.47.11.020.00,2.613888888888889
22.47.11.021.00,2.517142857142857
22.47.11.022.00,2.581081081081081
22.47.11.023.00,2.5500000000000003
22.47.11.024.00,2.330952380952381
22.47.11.025.00,3.7
22.47.11.025.01,1.4
22.47.11.025.02,
22.47.11.026.00,2.563333333333333
22.47.11.027.00,2.5390243902439025
22.47.11.028.00,2.9
22.47.11.029.01,2.6536666666666666
22.47.11.029.02,3.1915492957746476
22.47.11.029.03,0.5
22.47.11.030.01,7.0
22.47.11.030.02,6.736111111111111
22.47.11.031.00,2.798397435897436
22.47.11.032.00,2.4541666666666666
22.47.11.033.01,2.539252336448598
22.47.11.033.02,2.795
36.01.20.001.00,6.840909090909091
36.01.20.002.00,2.65
36.01.20.003.00,
36.01.20.004.00,7.0
36.01.20.004.01,2.5
36.01.20.005.00,4.424137931034482
36.01.20.006.00,4.444
36.01.20.007.00,1.5
36.01.20.009.00,3.832
36.01.21.001.00,6.5
36.01.21.002.00,3.8210526315789473
36.01.21.003.00,4.5
36.01.21.004.00,4.62
36.01.21.005.00,3.8210526315789473
36.01.21.006.00,3.789285714285714
36.01.21.007.00,4.58235294117647
36.01.21.008.00,4.010975609756098
36.01.21.009.00,7.472
36.01.21.010.00,8.442857142857143
36.01.21.011.00,6.5
36.01.21.012.00,3.3360655737704916
36.01.21.013.00,3.621212121212121
36.01.21.014.00,3.78
36.01.21.015.00,4.54
36.01.21.016.00,3.78
36.01.21.017.00,8.782352941176471
36.01.21.017.01,
36.01.21.017.02,
36.01.21.018.00,8.1
36.01.21.019.00,3.688235294117647
36.01.21.020.00,5.5
36.01.21.020.02,7.0
36.01.21.021.00,4.552631578947368
36.01.21.022.00,3.0
36.01.21.022.01,4.3
36.01.21.022.02,1.5
36.01.21.023.00,6.775
36.01.21.024.00,4.54
36.01.21.025.00,8.1
36.01.21.025.03,7.0
36.01.21.026.00,2.2
36.01.21.026.01,4.9
36.01.21.026.02,8.9
36.01.21.027.00,8.606666666666666
36.01.21.028.00,3.5
36.01.21.028.02,8.1
36.01.21.030.00,3.5
36.01.21.030.01,8.1
36.01.21.031.00,4.484615384615385
36.01.21.032.00,8.633333333333333
36.01.21.033.00,4.58235294117647
36.01.21.034.00,6.590909090909091
36.01.21.036.00,4.5
36.01.21.037.00,4.5
36.01.21.038.00,8.526666666666667
36.01.21.039.00,8.557142857142857
36.01.21.040.00,3.7065217391304346
36.01.21.041.00,3.74
36.01.21.043.00,7.464444444444444
36.01.21.044.00,7.911764705882353
36.01.21.045.00,6.5
36.01.21.045.01,8.9
36.01.21.045.02,7.0
36.01.21.046.00,8.1
36.01.21.046.01,8.9
36.01.21.047.00,8.594117647058823
36.01.21.048.00,8.1
36.01.21.048.01,1.2
36.01.21.048.02,2.2
36.01.21.049.00,30.445161290322577
36.01.21.050.00,
36.01.21.050.01,45.8
36.01.21.051.00,6.608695652173913
36.01.21.052.00,8.441666666666668
36.01.21.053.00,7.084615384615385
36.01.21.054.00,8.441666666666668
36.01.21.055.00,2.65
36.01.21.056.00,6.625
36.01.21.057.00,2.65
36.01.21.058.00,5.5
36.01.21.059.00,1.0
36.01.21.061.00,1.0
36.02.02.001.00,3.888076923076923
36.02.02.002.00,
36.02.02.002.01,3.046818181818182
36.02.02.003.00,
36.02.02.003.01,5.5
36.02.02.003.02,3.0
36.02.02.004.00,5.4975000000000005
36.02.02.005.00,6.868695652173913
36.02.02.006.00,
36.02.02.006.01,2.666129032258065
36.02.02.006.03,6.51
36.02.02.007.00,4.104
36.02.02.008.00,4.5852272727272725
36.02.02.009.00,
36.02.02.009.01,43.230737704918035
36.02.02.009.02,46.965
