field,region,land_type,fertility_score,season,crop,crop_predecessor,crop_yearold,area,hybrid,reproduction,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph
22.47.10.012.02,Алтай,пашня,3,2023,Кукуруза силос,Яр.пшеница мягкая,,128.66,,,Покупные,минимальная,8.5,134.2,233.57,3.33,5.6
22.47.10.012.03,Алтай,пашня,3,2023,Залежь,Яр.пшеница мягкая,,3.17,,,,минимальная,,134.2,233.57,3.33,5.6
22.47.10.013.01,Алтай,пашня,1,2023,Пар,Яр.пшеница мягкая,,110.41,,,,,,160.9,271.1,3.6,5.9
22.47.10.013.02,Алтай,пашня,1,2023,"Залежь, лес","Залежь, лес",,306.42,,,,,,160.9,271.1,3.6,5.9
22.47.10.013.03,Алтай,пашня,1,2023,"Залежь, лес","Залежь, лес",,19.55,,,,,,160.9,271.1,3.6,5.9
22.47.10.014.00,Алтай,пашня,2,2023,Кукуруза силос,Оз.пшеница мягкая,,300.58,,,,,8.5,156.6,265.1,3,5.7
22.47.10.015.01,Алтай,пашня,2,2023,Кукуруза силос,Яр.пшеница мягкая,,157.63,,РС-1,Покупные,минимальная,8.5,135.6,223.4,3.6,5.5
22.47.10.015.02,Алтай,пашня,2,2023,Залежь,Залежь,,13.47,,,,,,135.6,223.4,3.6,5.5
22.47.10.016.00,Алтай,пашня,3,2023,Кукуруза силос,Пар,,432.37,П 7043,F1,Покупные,классическая с плугом,8.5,173.9,288.5,3.6,5.1
22.47.10.017.00,Алтай,пашня,3,2023,Кукуруза силос,Лён масличный,,73.69,Ликамеро,,Покупные,минимальная,8.5,136.6,195.3,3.7,5.8
22.47.10.018.00,Алтай,пашня,3,2023,Кукуруза силос,Лён масличный,,10.84,,,Покупные,минимальная,8.5,102,194,3.7,5.3
22.47.10.019.00,Алтай,пашня,3,2023,Кукуруза силос,Яр.пшеница мягкая,,51.62,,,Покупные,минимальная,8.5,148.3,223.8,4,5.7
22.47.11.001.00,Алтай,пашня,3,2023,Одн.тр.(вика+овёс)корм,Яр.ячмень,,274.36,,,,,3,227.6,99.2,3,5.3
22.47.11.002.00,Алтай,пашня,4,2023,Яр.пшеница мягкая,Пар,,214.84,Ликамеро,ЭС,Покупные,минимальная,3.3,215.1,111.5,3.4,5.3
22.47.11.003.00,Алтай,пашня,3,2023,Яр.ячмень,Яр.пшеница мягкая,,270.54,Маргрет,РС-1,Покупные,минимальная,3.325,222.8,179.3,4.1,5
22.47.11.004.00,Алтай,пашня,4,2023,Яр.ячмень,Горох,,66.28,Маргрет,РС-1,Покупные,минимальная,3.325,154.6,261.9,3.4,5.6
22.47.11.005.00,Алтай,пашня,4,2023,Яр.ячмень,Горох,,252.76,Маргрет,РС-1,Покупные,минимальная,3.325,172.7,243.2,3.9,5.2
22.47.11.006.00,Алтай,пашня,4,2023,Чечевица,Пар,,258.72,,РС-1,Покупные,минимальная,1.9,196.4,201,4,5.3
22.47.11.007.00,Алтай,пашня,3,2023,Пар,Яр.ячмень,,217.41,,,,минимальная,,239.1,110.2,2.5,5.3
22.47.11.008.00,Алтай,пашня,4,2023,Одн.тр.(вика+овёс)корм,Яр.ячмень,,190.3,,,Покупные,минимальная,3,223.7,130.4,2.8,5.1
22.47.11.009.00,Алтай,пашня,4,2023,Яр.пшеница мягкая,Соя,,473.95,Ликамеро,ЭС,Покупные,минимальная,3.3,244.2,130.4,3.8,5.2
22.47.11.010.00,Алтай,пашня,4,2023,Яр.ячмень,Горох,,78.12,Маргрет,РС-1,Покупные,минимальная,3.325,141.1,257.8,3.8,5.8
22.47.11.011.01,Алтай,пашня,3,2023,Пар,Яр.пшеница мягкая,,79.1,,,,,,192.15,165.85,3.63,5.48
22.47.11.011.02,Алтай,пашня,3,2023,"Залежь, лес","Залежь, лес",,29.41,,,,,,192.15,165.85,3.63,5.48
22.47.11.011.03,Алтай,пашня,3,2023,Пар,Яр.пшеница мягкая,,14,,,,,,192.15,165.85,3.63,5.48
22.47.11.011.04,Алтай,пашня,3,2023,Пар,Яр.пшеница мягкая,,3.46,,,,,,192.15,165.85,3.63,5.48
22.47.11.012.00,Алтай,пашня,2,2023,Пар,Пар,,4.74,,,,,,173,265,3.4,5.6
22.47.11.013.00,Алтай,пашня,3,2023,Яр.ячмень,Горох,,69.06,Маргрет,РС-1,Покупные,минимальная,3.325,207.7,160.7,4.1,5.4
22.47.11.014.00,Алтай,пашня,3,2023,Одн.тр.(вика+овёс)корм,Яр.ячмень,,312.27,,РС-1,Покупные,минимальная,3,283.8,122.2,3,5.1
22.47.11.015.00,Алтай,пашня,4,2023,Одн.тр.(вика+овёс)корм,Яр.ячмень,,205.95,,РС-1,Покупные,минимальная,3,258.1,117.5,2.9,5.1
22.47.11.016.00,Алтай,пашня,4,2023,Яр.ячмень,Горох,,21.76,Маргрет,РС-3,Покупные,минимальная,3.325,240.3,101.7,3.6,5.3
22.47.11.017.00,Алтай,пашня,4,2023,Яр.ячмень,Горох,,21.84,Маргрет,РС-3,Покупные,минимальная,3.325,230.3,159,3.7,5.2
22.47.11.018.00,Алтай,пашня,4,2023,Яр.ячмень,Горох,,40.14,Маргрет,РС-3,Покупные,минимальная,3.325,285.8,148.2,3.4,5.2
22.47.11.019.00,Алтай,пашня,4,2023,Яр.ячмень,Горох,,35.65,Маргрет,РС-3,Покупные,минимальная,3.325,236.5,169,3.2,5.1
22.47.11.020.00,Алтай,пашня,4,2023,Соя,Яр.пшеница мягкая,,38.63,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,287.3,115,2.9,5
22.47.11.021.00,Алтай,пашня,4,2023,Соя,Яр.пшеница мягкая,,36.64,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,298.6,132.8,3.4,5
22.47.11.022.00,Алтай,пашня,4,2023,Соя,Яр.пшеница мягкая,,41.32,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,268.8,131.6,3.5,5.2
22.47.11.023.00,Алтай,пашня,4,2023,Соя,Яр.пшеница мягкая,,36.57,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,353.5,291.8,3.5,5.2
22.47.11.024.00,Алтай,пашня,4,2023,Соя,Яр.пшеница мягкая,,84.15,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,242.8,145.7,3.3,5.2
22.47.11.025.01,Алтай,пашня,4,2023,Соя,Яр.пшеница мягкая,,120.95,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,249.6,132.7,3.7,5.3
22.47.11.025.02,Алтай,пашня,4,2023,Люпин белый,Яр.пшеница мягкая,,4.86,,,,,,249.6,132.7,3.7,5.3
22.47.11.026.00,Алтай,пашня,3,2023,Яр.пшеница мягкая,Яр.пшеница мягкая,,80.97,Ликамеро,ЭС,Покупные,минимальная,3.3,210.1,181,4,5.2
22.47.11.027.00,Алтай,пашня,3,2023,Яр.пшеница мягкая,Овёс,,59.49,Ликамеро,ЭС,Покупные,минимальная,3.3,217.5,159.2,3.8,5.1
22.47.11.028.00,Алтай,пашня,3,2023,Оз.пшеница мягкая,Пар,,31.79,Скипетр,ЭС,Покупные,минимальная,3.8,218,145.1,4,5.2
22.47.11.029.01,Алтай,пашня,3,2023,Яр.ячмень,Горох,,114.55,Маргрет,РС-3,Покупные,минимальная,3.325,227.9,147.7,4.1,5.2
22.47.11.029.02,Алтай,пашня,3,2023,Оз.пшеница мягкая,Пар,,191.6,Скипетр,ЭС,Покупные,минимальная,3.8,227.9,147.7,4.1,5.2
22.47.11.030.01,Алтай,пашня,3,2023,Одн.тр.(вика+овёс)корм,Пар,,133.18,,,Покупные,минимальная,3,344.7,178.7,2.8,5.2
22.47.11.030.02,Алтай,пашня,3,2023,Яр.ячмень,Оз.пшеница мягкая,,113.92,,РС-3,Покупные,минимальная,3.325,344.7,178.7,2.8,5.2
22.47.11.031.00,Алтай,пашня,4,2023,Яр.ячмень,Пар,,113.15,Маргрет,РС-3,Покупные,минимальная,3.325,271.3,113.8,3,5.2
22.47.11.032.00,Алтай,пашня,4,2023,Соя,Яр.пшеница мягкая,,122.06,,РС-1,Покупные,минимальная,1.4,340.8,120.7,3.5,5.2
22.47.11.033.01,Алтай,пашня,3,2023,Соя,Яр.пшеница мягкая,,271.39,СИБНИИК 9,РС-1,Покупные,минимальная,1.4,304,147.5,3.2,5.2
22.47.11.033.02,Алтай,пашня,3,2023,Яр.ячмень,Горох,,171.88,Маргрет,РС-1,Покупные,минимальная,3.325,304,147.5,3.2,5.2
02.09.02.002.01,Башкирия,пашня,4,2023,Подсолнечник,Чечевица,,120.25,Смесь сортов,РС-1,Покупные,классическая с плугом,1.98,,,,
02.09.02.002.02,Башкирия,пашня,4,2023,"Залежь, лес",Залежь,,49.7,,,,,,,,,
02.09.02.003.00,Башкирия,пашня,4,2023,Пар,Залежь,,91.78,,,,,,,,,
02.09.02.004.00,Башкирия,пашня,4,2023,"Залежь, кустарник","Залежь, кустарник",,39.21,,,,,,,,,
02.09.02.005.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,186.24,,,,,,,,,
02.09.02.006.00,Башкирия,пашня,4,2023,"Залежь, кустарник","Залежь, кустарник",,9.74,,,,,,,,,
02.09.02.007.00,Башкирия,пашня,4,2023,"Залежь, кустарник","Залежь, кустарник",,40.36,,,,,,,,,
02.09.02.008.00,Башкирия,пашня,4,2023,Залежь,Залежь,,5.27,,,,,,,,,
02.09.02.010.00,Башкирия,пашня,4,2023,Пар,Залежь,,51.9,,,,,,,,,
02.09.02.013.00,Башкирия,пашня,4,2023,Залежь,Залежь,,25.06,,,,,,,,,
02.09.02.015.00,Башкирия,пашня,4,2023,Подсолнечник,Чечевица,,36.34,Сузука,РС-1,Покупные,классическая с плугом,1.98,,,,
02.09.02.019.00,Башкирия,пашня,4,2023,Яр.ячмень,Чечевица,,50.78,Вакула,РС-1,Свои,классическая с плугом,2.85,,,,
02.09.03.032.00,Башкирия,пашня,4,2023,Чечевица,Кукуруза силос,,105.42,Рэдкот,РС-2,Свои,классическая с плугом,1.4,,,,
02.09.06.001.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,46.24,,,,,,,,,
02.09.06.002.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,33.46,,,,,,,,,
02.09.06.003.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,12.84,,,,,,,,,
02.09.06.004.01,Башкирия,пашня,4,2023,Чечевица,Кукуруза силос,,56.41,Кермит,,Покупные,классическая с плугом,1.4,,,,
02.09.06.004.02,Башкирия,пашня,4,2023,Одн.тр.суданская тр.корм.,Подсолнечник; Кукуруза силос,,66.52,(нет сорта),РС-1,Покупные,классическая с плугом,4,,,,
02.09.06.004.03,Башкирия,пашня,4,2023,Залежь,Залежь,,28.31,,,,,,,,,
02.09.06.004.04,Башкирия,пашня,4,2023,Пар,Подсолнечник; Кукуруза силос,,51.42,(нет сорта),Без репродукции,Покупные,классическая с плугом,,,,,
02.09.06.004.05,Башкирия,пашня,4,2023,Пар,,,37.91,,,,,,,,,
02.09.06.005.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,54.64,,,,,,,,,
02.09.06.006.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,22.64,,,,,,,,,
02.09.06.007.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,30.84,,,,,,,,,
02.09.06.009.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,6.29,,,,,,,,,
02.09.06.010.00,Башкирия,пашня,4,2023,"Залежь, лес","Залежь, лес",,31,,,,,,,,,
02.09.06.011.01,Башкирия,пашня,4,2023,Одн.тр.суданская тр.корм.,Подсолнечник,,130.82,,,,классическая с плугом,4,,,,
02.09.06.011.02,Башкирия,пашня,4,2023,Подсолнечник,Оз.пшеница мягкая,,101.78,Фаусто,РС-1,Покупные,классическая с плугом,1.98,,,,
02.09.06.012.01,Башкирия,пашня,4,2023,Чечевица,Кукуруза силос,,57.01,Рэдкот,РС-2,Свои,классическая с плугом,1.4,,,,
02.09.06.012.02,Башкирия,пашня,4,2023,Лён масличный,Подсолнечник,,101.93,Северный,РС-1,Покупные,классическая с плугом,1.2,,,,
02.09.06.014.00,Башкирия,пашня,4,2023,Одн.тр.суданская тр.корм.,Подсолнечник,,181.78,,,,классическая с плугом,4,,,,
02.09.06.016.01,Башкирия,пашня,4,2023,Одн.тр.суданская тр.корм.,Подсолнечник,,163.16,,,,классическая с плугом,4,,,,
02.09.06.016.02,Башкирия,пашня,4,2023,Лён масличный,Подсолнечник,,6.2,,,,классическая с плугом,1.2,,,,
02.09.06.017.00,Башкирия,пашня,4,2023,Одн.тр.суданская тр.корм.,Подсолнечник,,52.03,,,,классическая с плугом,4,,,,
02.09.06.019.00,Башкирия,пашня,4,2023,Одн.тр.суданская тр.корм.,Подсолнечник,,153.94,Кинельская 100,РС-1,Покупные,классическая с плугом,4,,,,
02.09.06.020.00,Башкирия,пашня,4,2023,Одн.тр.суданская тр.корм.,Подсолнечник,,68.46,,,,классическая с плугом,4,,,,
02.09.06.021.00,Башкирия,пашня,4,2023,Лён масличный,Подсолнечник,,46.43,Северный,РС-1,Покупные,классическая с плугом,1.2,,,,
02.09.06.022.00,Башкирия,пашня,4,2023,Лён масличный,Подсолнечник,,112.67,Северный,РС-1,Покупные,классическая с плугом,1.2,,,,
02.09.06.023.00,Башкирия,пашня,4,2023,Подсолнечник,Кукуруза силос,,191.81,Смесь сортов,РС-1,Покупные,классическая с плугом,1.98,,,,
02.09.06.025.00,Башкирия,пашня,4,2023,Лён масличный,Подсолнечник,,82.26,,,,классическая с плугом,1.2,,,,
02.09.06.026.00,Башкирия,пашня,4,2023,Лён масличный,Подсолнечник,,44.2,,,,классическая с плугом,1.2,,,,
02.09.06.027.00,Башкирия,пашня,4,2023,Подсолнечник,Амарант; Оз.пшеница мягкая,,120.1,Фаусто,РС-1,Покупные,классическая с плугом,1.98,,,,
02.09.06.028.00,Башкирия,пашня,4,2023,Яр.ячмень,Подсолнечник,,90.34,Вакула,РС-1,Свои,классическая с плугом,2.85,,,,
02.09.06.029.00,Башкирия,пашня,4,2023,Лён масличный,Подсолнечник,,18.61,,,,классическая с плугом,1.2,,,,
02.09.06.030.00,Башкирия,пашня,4,2023,Лён масличный,Подсолнечник,,95.6,,,,классическая с плугом,1.2,,,,
02.09.06.031.00,Башкирия,пашня,4,2023,Одн.тр.суданская тр.корм.,Подсолнечник,,63.09,,,,классическая с плугом,4,,,,
02.09.06.032.00,Башкирия,пашня,4,2023,Подсолнечник,Амарант; Оз.пшеница мягкая,,146.87,Фаусто,F1,Покупные,классическая с плугом,1.98,,,,
02.09.06.044.00,Башкирия,пашня,4,2023,Залежь,"Не используется, чужая земля",,60.75,,,,,,,,,
02.09.06.048.00,Башкирия,пашня,4,2023,Подсолнечник,Кукуруза силос,,46.77,Сузука,РС-1,Покупные,классическая с плугом,1.98,,,,
02.09.06.049.00,Башкирия,пашня,4,2023,Подсолнечник,Чечевица,,49.03,Смесь сортов,РС-1,Покупные,классическая с плугом,1.98,,,,
02.09.06.054.01,Башкирия,пашня,4,2023,Люцерна пр.лет корм,Люцерна пр.лет корм,4,32.11,БН 06-18,РСт,Покупные,классическая с плугом,3.4,,,,
02.09.06.054.02,Башкирия,пашня,4,2023,Пар,Люцерна пр.лет корм,,13.6,,,,,,,,,
02.09.06.056.00,Башкирия,пашня,4,2023,Залежь,"Не используется, чужая земля",,18.62,,,,,,,,,
02.09.06.057.00,Башкирия,пашня,4,2023,Козлятник пр.лет корм,Козлятник 1 г.ж.корм,2,60.03,Гале,РС-1,Покупные,классическая с плугом,3,,,,
02.09.06.061.01,Башкирия,пашня,4,2023,Яр.пшеница твёрдая,Кукуруза силос,,494,Смесь сортов,ЭС,Покупные,классическая с плугом,2.5,,,,
02.09.06.061.02,Башкирия,пашня,4,2023,Яр.ячмень,Кукуруза силос,,35.22,,,,классическая с плугом,2.85,,,,
02.09.06.063.00,Башкирия,пашня,4,2023,Козлятник пр.лет корм,Козлятник 1 г.ж.корм,2,11.74,Гале,РС-1,Покупные,классическая с плугом,3,,,,
02.09.06.064.00,Башкирия,пашня,4,2023,Козлятник пр.лет корм,Козлятник 1 г.ж.корм,2,310.72,Гале,РС-1,Покупные,классическая с плугом,3,,,,
02.09.06.065.00,Башкирия,пашня,4,2023,Кукуруза силос,Пар,,35.64,Каскад 166,РС-1,Покупные,классическая с плугом,5.53,,,,
02.09.06.066.00,Башкирия,пашня,4,2023,Кукуруза силос,Пар,,123.84,Каскад 166,F1,Покупные,классическая с плугом,5.53,,,,
